"job","firm","functionality","jobtype"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Analyst","Enfuse Group","Digital","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Business Analyst","Humatica","Data Science","Job"
"Data Engineer","Valcon","Data Science","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Associate","McKinsey & Company","Strategy","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"Partner Administrator - Advisory","PwC","Unknown","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Principal Consultants","Q5","Strategy","Job"
"","Alvarez & Marsal","Management","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Data Scientist","Digital Power","Data Science","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"PH-4804; Test Automation Manager, Python / Azure","B2E Consulting","Unknown","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"Independent Consultants","Fairgrove Partners","Strategy","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Independent Consultant","dss+","Sustainability","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Senior Manager - Procurement & Value Creation","H&Z Management Consulting","Project Management","Job"
"Analyst","Change Management Group","Process Management","Job"
"Senior Consultant Asset Management","Sionic","Corporate Finance","Job"
"Director Client Services - Life Sciences","Genioo","Strategy","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"Senior Business Development Manager","Ayming","Sales","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Customer Experience Specialist","Digital Power","CRM","Job"
"Business Analyst","McKinsey & Company","Strategy","Job"
"Manager","CIL Management Consultants","Strategy","Job"
"Manufacturing and construction consultant","Develop Consulting","Lean & SixSigma","Job"
"Consultant Business & Technology","First Consulting","Digital","Job"
"Technology and Architecture Roles","Coeus Consulting","Digital","Job"
"Supply Chain Operations Analyst","BearingPoint","Supply Chain","Job"
"Experienced Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Marketing Executive","Genioo","Marketing","Job"
"Business Development Manager – R&D Incentives","Ayming","Sales","Job"
"PH-4779; German Speaking PMO Consultant","B2E Consulting","Unknown","Job"
"Associate Consultant","Analysys Mason","Digital","Job"
"Senior Manager Treasury Technology","Zanders","Corporate Finance","Job"
"Manager and Senior Manager","Procura Consulting","Project Management","Job"
"Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Marketing Executive/Manager","Panoptic Consultancy Group","Marketing","Job"
"Programme Director - Energy & Utilities","Capgemini Invent","Management","Job"
